"buyer_gender","color","make","new_car","purchase_date","buyer_age","discount","sale_price"
"Male","Crimson","Chrysler","No","17/06/2021",48,0.05,30624
"Female","Purple","Lexus","No","19/09/2021",44,0.49,17323
"Agender","Red","Chrysler","No","01/03/2021",55,0.47,23341
"Male","Fuscia","Mercedes-Benz","No","30/06/2021",30,0.26,21589
"Female","Puce","Mitsubishi","Yes","07/06/2021",36,0.3,64463
"Female","Blue","Subaru","No","10/11/2021",21,0.48,49295
"Male","Red","Pontiac","Yes","02/09/2021",60,0.25,27803
"Female","Green","Infiniti","Yes","26/10/2021",25,0.25,21502
"Male","Blue","Maserati","Yes","10/04/2021",36,0.43,40109
"Male","Violet","Oldsmobile","Yes","23/01/2021",21,0.19,27460
"Female","Puce","Acura","No","17/11/2021",57,0.34,22622
"Female","Maroon","Plymouth","No","26/12/2021",27,0.35,40859
"Female","Orange","GMC","No","02/02/2021",22,0.39,26287
"Male","Teal","Nissan","Yes","03/02/2021",22,0.19,54673
"Female","Teal","Audi","No","24/09/2021",65,0.1,73167
"Agender","Aquamarine","Ford","No","10/01/2021",45,0.13,11511
"Genderfluid","Purple","Nissan","Yes","25/02/2021",55,0.46,27531
"Female","Yellow","Daewoo","Yes","15/02/2021",55,0.05,34037
"Female","Indigo","Mazda","Yes","13/05/2021",40,0.25,31936
"Male","Khaki","GMC","No","18/09/2021",44,0.07,64485
"Polygender","Mauv","BMW","Yes","19/08/2021",31,0.01,20863
"Female","Purple","Chevrolet","No","28/11/2021",29,0.39,24234
"Female","Green","Toyota","No","04/07/2021",51,0.41,19490
"Female","Yellow","Buick","No","02/08/2021",57,0.22,55977
"Male","Green","Volkswagen","Yes","26/05/2021",37,0.17,63080
"Genderfluid","Maroon","Ford","No","05/11/2021",64,0.2,38207
"Female","Pink","Oldsmobile","Yes","23/08/2021",50,0.25,24557
"Male","Fuscia","Dodge","No","27/01/2021",57,0.34,56420
"Male","Teal","Chevrolet","Yes","03/12/2021",44,0.18,21998
"Female","Purple","Dodge","No","26/04/2021",64,0.06,48577
"Female","Aquamarine","Nissan","Yes","16/01/2021",39,0.06,45725
"Male","Puce","Audi","No","24/05/2021",36,0.15,41665
"Female","Orange","Jaguar","No","12/01/2021",26,0.35,74773
"Male","Violet","Chevrolet","No","28/03/2021",21,0.06,72371
"Male","Indigo","Saab","No","17/07/2021",48,0.48,54004
"Female","Pink","Mercury","Yes","08/09/2021",49,0.08,33511
"Male","Indigo","Buick","No","15/04/2021",37,0.05,57172
"Male","Purple","Mazda","No","22/01/2021",52,0.39,57410
"Female","Khaki","Mazda","No","15/04/2021",24,0.1,32085
"Female","Purple","Honda","Yes","11/01/2021",36,0.13,19261
"Male","Crimson","Dodge","Yes","05/10/2021",57,0.47,25702
"Female","Fuscia","Mercedes-Benz","No","17/02/2021",20,0.2,10083
"Male","Red","Audi","Yes","23/04/2021",34,0.34,23262
"Genderfluid","Blue","Isuzu","No","21/06/2021",55,0.16,11657
"Male","Fuscia","Mercury","Yes","30/05/2021",36,0.26,32350
"Male","Mauv","Land Rover","No","12/07/2021",26,0.09,74717
"Female","Turquoise","Volkswagen","No","28/07/2021",55,0.14,66026
"Agender","Indigo","Aston Martin","No","14/02/2021",55,0.2,38920
"Female","Khaki","Ford","No","24/09/2021",21,0.02,41912
"Female","Crimson","Buick","No","03/09/2021",35,0.35,58931
"Male","Fuscia","BMW","Yes","04/12/2021",37,0.03,55216
"Male","Purple","Lamborghini","No","13/08/2021",54,0.08,25395
"Male","Blue","Cadillac","Yes","07/01/2021",64,0.47,70643
"Female","Maroon","Pontiac","No","09/07/2021",37,0.1,41249
"Male","Teal","Chevrolet","Yes","13/08/2021",35,0.49,51377
"Male","Crimson","Cadillac","Yes","06/08/2021",30,0.26,16861
"Other","Crimson","Hyundai","Yes","21/06/2021",35,0.29,35027
"Female","Orange","Mitsubishi","No","10/12/2021",64,0.2,74195
"Female","Indigo","Chevrolet","No","13/07/2021",31,0.27,61950
"Female","Pink","Volkswagen","No","27/10/2021",61,0.02,29038
"Female","Maroon","Pontiac","Yes","01/04/2021",61,0.16,39108
"Agender","Goldenrod","Dodge","Yes","19/06/2021",50,0.36,50523
"Female","Teal","Lotus","No","12/12/2021",59,0.5,37037
"Female","Fuscia","Nissan","No","23/02/2021",63,0.42,12589
"Male","Maroon","Porsche","No","26/09/2021",42,0.23,43720
"Male","Khaki","Ford","No","26/12/2021",33,0.28,43063
"Male","Pink","Chevrolet","No","10/07/2021",28,0.13,48155
"Male","Teal","Saab","Yes","31/03/2021",47,0.17,59419
"Male","Teal","Audi","No","16/11/2021",33,0.03,52909
"Male","Yellow","Porsche","Yes","25/11/2021",59,0.18,10868
"Female","Orange","Chevrolet","No","11/12/2021",46,0.32,45245
"Female","Maroon","Lexus","Yes","24/02/2021",42,0.42,20040
"Male","Purple","Volvo","Yes","24/08/2021",42,0.27,63139
"Female","Khaki","Lincoln","Yes","06/02/2021",38,0.22,70612
"Female","Goldenrod","Audi","Yes","28/03/2021",53,0.19,56491
"Male","Aquamarine","Dodge","No","03/04/2021",22,0.46,71728
"Female","Green","Lamborghini","Yes","15/03/2021",44,0.49,24426
"Male","Blue","Acura","Yes","01/09/2021",46,0.27,57498
"Male","Blue","Audi","No","14/07/2021",32,0.43,34257
"Female","Aquamarine","Volvo","Yes","16/03/2021",26,0.04,56517
"Male","Crimson","Mercury","No","16/07/2021",42,0.4,28889
"Male","Orange","Mercedes-Benz","No","21/11/2021",42,0.25,23004
"Male","Mauv","Ford","Yes","01/10/2021",54,0.47,44143
"Male","Fuscia","Honda","Yes","24/07/2021",35,0.04,39337
"Male","Red","Hyundai","Yes","01/02/2021",23,0.43,56998
"Female","Goldenrod","Chevrolet","Yes","17/11/2021",59,0.13,71104
"Male","Pink","Toyota","Yes","18/02/2021",49,0.3,36422
"Female","Maroon","Chevrolet","Yes","08/09/2021",61,0.42,69145
"Male","Fuscia","Dodge","Yes","10/10/2021",63,0.29,60667
"Female","Pink","Oldsmobile","No","08/10/2021",32,0.27,45410
"Genderqueer","Teal","Maybach","No","06/07/2021",47,0.05,19867
"Female","Khaki","Chrysler","Yes","26/10/2021",35,0.1,71367
"Female","Khaki","Acura","No","20/07/2021",43,0.46,70709
"Female","Red","GMC","No","14/12/2021",25,0.34,38890
"Female","Mauv","Volkswagen","Yes","10/09/2021",53,0.07,24730
"Female","Maroon","Ford","No","28/09/2021",25,0.4,45067
"Female","Crimson","Infiniti","No","05/05/2021",37,0.36,53193
"Female","Pink","Toyota","No","31/07/2021",47,0.31,19042
"Female","Blue","Toyota","No","25/08/2021",43,0.04,15214
"Female","Puce","BMW","No","28/09/2021",55,0.04,74374
"Male","Indigo","Lincoln","Yes","03/04/2021",46,0.49,72322
"Female","Maroon","Ford","Yes","01/11/2021",48,0.22,74760
"Female","Turquoise","Ford","No","01/06/2021",23,0.08,21273
"Bigender","Aquamarine","Nissan","No","02/01/2021",58,0.24,33403
"Female","Maroon","Ford","No","18/12/2021",50,0.16,37704
"Female","Red","Toyota","No","19/02/2021",21,0.39,32959
"Female","Yellow","BMW","Yes","27/01/2021",63,0.41,10562
"Male","Orange","Honda","No","02/04/2021",44,0.47,44628
"Male","Pink","Chevrolet","No","04/11/2021",35,0.4,40627
"Female","Fuscia","Infiniti","Yes","15/05/2021",46,0.41,12256
"Male","Pink","Mazda","Yes","21/06/2021",59,0.17,65749
"Agender","Aquamarine","Acura","Yes","16/06/2021",60,0.32,45500
"Male","Puce","Chevrolet","No","17/08/2021",58,0.22,35597
"Genderqueer","Violet","Porsche","No","18/09/2021",56,0.02,21629
"Female","Purple","Pontiac","No","10/08/2021",57,0.47,18159
"Male","Blue","Acura","No","24/01/2021",22,0.43,66062
"Female","Indigo","Infiniti","No","10/07/2021",31,0.04,29147
"Male","Red","BMW","No","28/11/2021",29,0.36,30185
"Male","Maroon","GMC","Yes","27/05/2021",22,0.47,56506
"Male","Fuscia","Dodge","Yes","08/05/2021",41,0.05,61910
"Female","Maroon","Chevrolet","Yes","11/03/2021",38,0.37,31248
"Male","Red","GMC","Yes","09/01/2021",62,0.29,18833
"Female","Fuscia","Infiniti","Yes","08/09/2021",61,0.34,44380
"Male","Red","Pontiac","Yes","05/11/2021",30,0.37,45843
"Female","Red","Ford","Yes","05/04/2021",64,0.29,11815
"Male","Red","Volvo","Yes","27/11/2021",23,0.23,52956
"Male","Mauv","Chevrolet","Yes","06/10/2021",41,0.21,51683
"Female","Red","Ford","Yes","24/02/2021",33,0.24,30294
"Genderqueer","Green","Jeep","Yes","10/05/2021",48,0.43,39613
"Female","Mauv","Audi","No","18/12/2021",63,0.49,50621
"Male","Crimson","Ford","Yes","29/11/2021",54,0.19,24457
"Male","Teal","GMC","Yes","09/01/2021",42,0.08,56031
"Male","Yellow","Buick","No","02/07/2021",58,0.39,67168
"Male","Purple","Oldsmobile","No","22/03/2021",59,0.13,33696
"Female","Orange","Infiniti","No","05/07/2021",38,0.37,49172
"Male","Puce","Volvo","No","30/11/2021",61,0.29,54294
"Male","Khaki","Rolls-Royce","Yes","17/01/2021",50,0.06,34452
"Female","Teal","Hyundai","Yes","05/12/2021",29,0.05,51728
"Female","Khaki","Mazda","Yes","05/12/2021",36,0.04,54158
"Bigender","Mauv","Aston Martin","No","16/12/2021",24,0.1,64164
"Male","Red","Volkswagen","No","20/02/2021",33,0.04,11861
"Female","Aquamarine","Audi","No","20/09/2021",38,0.39,57222
"Male","Blue","Chevrolet","Yes","16/07/2021",33,0.16,53977
"Female","Aquamarine","Toyota","Yes","03/03/2021",39,0.35,54893
"Male","Pink","Mitsubishi","Yes","03/01/2021",29,0.23,41892
"Male","Yellow","Pontiac","Yes","15/10/2021",59,0.22,17203
"Male","Mauv","Toyota","No","23/05/2021",32,0.32,68602
"Male","Green","Aston Martin","No","31/01/2021",28,0.18,14303
"Male","Maroon","Chevrolet","Yes","04/06/2021",45,0.41,58705
"Female","Green","Mercury","Yes","06/02/2021",52,0.39,10777
"Male","Fuscia","Scion","No","25/11/2021",64,0.33,36968
"Male","Crimson","Pontiac","Yes","18/01/2021",38,0.18,32657
"Female","Crimson","Ford","No","06/04/2021",45,0.3,32007
"Female","Puce","Nissan","No","07/02/2021",61,0.08,65413
"Female","Crimson","Audi","Yes","20/10/2021",55,0.38,37608
"Female","Indigo","Ford","No","03/08/2021",32,0.31,31920
"Female","Purple","Chevrolet","Yes","26/06/2021",49,0.08,23916
"Female","Indigo","Dodge","Yes","01/06/2021",31,0.13,40201
"Female","Khaki","Chrysler","Yes","11/04/2021",25,0.14,60981
"Male","Turquoise","Audi","Yes","27/02/2021",40,0.08,26299
"Female","Mauv","GMC","No","21/05/2021",23,0.13,70724
"Genderfluid","Teal","Chevrolet","Yes","18/05/2021",47,0.17,32646
"Male","Crimson","Cadillac","Yes","04/01/2021",42,0.27,16671
"Female","Aquamarine","Cadillac","Yes","20/05/2021",58,0.25,14491
"Male","Mauv","Ford","No","04/12/2021",29,0.07,38407
"Other","Turquoise","Mazda","No","20/09/2021",59,0.18,52779
"Male","Green","Kia","Yes","30/04/2021",54,0.42,68082
"Female","Yellow","Dodge","Yes","29/07/2021",63,0.13,13632
"Female","Aquamarine","Volvo","No","04/03/2021",29,0.5,35506
"Male","Crimson","Mitsubishi","Yes","06/01/2021",57,0.01,60805
"Male","Khaki","Mazda","No","23/10/2021",59,0.02,41232
"Male","Indigo","Chevrolet","Yes","25/03/2021",20,0.45,29993
"Male","Puce","Volvo","Yes","19/10/2021",28,0.49,23730
"Male","Maroon","Mercedes-Benz","No","19/12/2021",31,0.46,49564
"Male","Indigo","Mercedes-Benz","No","26/03/2021",25,0.49,29311
"Male","Teal","Hyundai","No","13/03/2021",51,0.1,32775
"Female","Mauv","GMC","No","20/02/2021",39,0.46,26001
"Male","Fuscia","Nissan","No","23/06/2021",24,0.47,71235
"Male","Mauv","Mercedes-Benz","Yes","08/05/2021",32,0.02,53065
"Male","Indigo","Chevrolet","No","02/10/2021",33,0.45,44269
"Male","Fuscia","Lexus","Yes","22/09/2021",56,0.18,45423
"Male","Mauv","Chevrolet","No","01/06/2021",57,0.32,40590
"Female","Maroon","Mercedes-Benz","No","14/01/2021",65,0.45,54940
"Female","Goldenrod","Dodge","Yes","21/07/2021",26,0.4,16135
"Male","Teal","Pontiac","Yes","02/10/2021",24,0.39,57494
"Female","Purple","Volkswagen","No","08/03/2021",65,0.22,33011
"Female","Fuscia","Ford","Yes","29/05/2021",45,0.11,42760
"Female","Green","Austin","No","06/07/2021",62,0.46,72200
"Male","Orange","Chevrolet","No","25/11/2021",49,0.12,32352
"Female","Fuscia","Infiniti","Yes","02/01/2021",40,0.08,14554
"Male","Turquoise","Acura","Yes","16/04/2021",28,0.27,25066
"Male","Khaki","Pontiac","Yes","28/06/2021",50,0.18,10831
"Male","Khaki","Jeep","No","03/01/2021",35,0.07,42464
"Male","Green","Chevrolet","No","26/05/2021",50,0.14,71780
"Female","Fuscia","Lexus","No","14/07/2021",52,0.2,41657
"Male","Crimson","Audi","No","04/10/2021",64,0.45,67623
"Female","Violet","Jeep","No","29/06/2021",33,0.12,66789
"Male","Violet","Dodge","Yes","06/12/2021",40,0.11,21702
"Male","Turquoise","Chevrolet","Yes","01/03/2021",60,0.14,70586
"Female","Yellow","GMC","No","23/12/2021",37,0.36,15361
"Male","Purple","Honda","No","19/02/2021",45,0.09,45196
"Male","Red","Audi","No","14/11/2021",21,0.29,24761
"Male","Fuscia","BMW","No","29/04/2021",45,0.43,71988
"Female","Crimson","Lincoln","No","13/11/2021",38,0.08,41132
"Female","Khaki","Nissan","Yes","12/10/2021",33,0.1,70894
"Female","Indigo","Aptera","No","16/04/2021",44,0.18,36169
"Male","Puce","Hummer","No","31/01/2021",34,0.41,46108
"Female","Aquamarine","Saab","No","01/07/2021",20,0.03,16301
"Male","Blue","Pontiac","No","30/07/2021",47,0.04,59806
"Male","Turquoise","Toyota","No","07/11/2021",42,0.16,49763
"Male","Mauv","GMC","No","24/10/2021",50,0.33,62009
"Female","Purple","Ford","Yes","13/02/2021",52,0.37,53212
"Male","Yellow","Chevrolet","Yes","04/02/2021",43,0.38,59327
"Genderqueer","Fuscia","Mitsubishi","Yes","22/10/2021",28,0.1,18152
"Genderfluid","Orange","Mitsubishi","Yes","15/11/2021",44,0.29,44253
"Female","Pink","Volkswagen","No","11/04/2021",52,0.03,54738
"Male","Khaki","BMW","No","05/12/2021",29,0.3,73274
"Male","Maroon","Chevrolet","Yes","22/03/2021",36,0.11,69679
"Polygender","Puce","Cadillac","No","29/01/2021",46,0.2,20100
"Male","Goldenrod","Cadillac","Yes","19/10/2021",24,0.05,54666
"Male","Khaki","Chevrolet","No","11/11/2021",31,0.11,17181
"Male","Mauv","Ford","No","26/02/2021",57,0.45,28477
"Female","Turquoise","Cadillac","No","15/01/2021",63,0.17,67603
"Male","Crimson","Volvo","Yes","16/02/2021",65,0.15,25140
"Male","Crimson","Dodge","No","24/12/2021",63,0.5,67627
"Male","Violet","GMC","No","05/04/2021",45,0.07,21501
"Female","Fuscia","Ford","Yes","21/04/2021",43,0.14,30074
"Male","Indigo","Ford","No","29/04/2021",43,0.28,59169
"Female","Aquamarine","Honda","No","09/03/2021",32,0.31,16588
"Male","Red","Jeep","Yes","23/12/2021",29,0.28,21085
"Male","Pink","Nissan","No","01/06/2021",41,0.3,23630
"Male","Teal","Jeep","Yes","25/10/2021",62,0.2,45393
"Female","Crimson","Nissan","Yes","04/05/2021",65,0.17,29107
"Female","Pink","Ferrari","No","11/11/2021",36,0.06,35550
"Genderqueer","Goldenrod","Audi","No","11/04/2021",48,0.13,41039
"Male","Yellow","Toyota","Yes","13/12/2021",38,0.4,33975
"Bigender","Khaki","BMW","Yes","10/04/2021",20,0.13,16346
"Female","Mauv","Volkswagen","Yes","25/06/2021",47,0.28,74645
"Bigender","Crimson","Chevrolet","No","28/09/2021",54,0.1,44668
"Other","Khaki","Mercedes-Benz","Yes","15/04/2021",40,0.34,16430
"Female","Maroon","BMW","Yes","16/06/2021",60,0.38,25065
"Male","Red","Audi","No","13/05/2021",63,0.43,58102
"Male","Orange","Dodge","No","07/08/2021",25,0.19,68103
"Female","Orange","Ford","Yes","26/04/2021",35,0.03,52802
"Female","Aquamarine","Lamborghini","Yes","08/09/2021",64,0.38,37993
"Female","Red","Subaru","No","25/09/2021",58,0.37,50316
"Male","Khaki","Acura","No","21/06/2021",46,0.2,56294
"Male","Aquamarine","Daewoo","No","15/10/2021",24,0.05,48522
"Female","Red","Chrysler","Yes","23/09/2021",24,0.22,44404
"Female","Indigo","Saturn","Yes","25/11/2021",21,0.47,14733
"Male","Turquoise","Volvo","Yes","22/08/2021",21,0.26,24549
"Female","Violet","BMW","Yes","23/11/2021",60,0.23,57460
"Male","Orange","Chevrolet","Yes","21/05/2021",59,0.2,74929
"Female","Khaki","Honda","Yes","07/07/2021",62,0.09,43818
"Other","Aquamarine","Buick","Yes","28/12/2021",43,0.45,67822
"Female","Purple","Cadillac","No","29/12/2021",48,0.46,26924
"Bigender","Goldenrod","BMW","No","20/04/2021",35,0.44,58420
"Female","Red","Dodge","No","09/01/2021",23,0.39,25590
"Male","Crimson","BMW","Yes","21/10/2021",24,0.22,33052
"Female","Indigo","Mazda","Yes","27/02/2021",57,0.2,74086
"Male","Indigo","Ford","No","17/03/2021",30,0.01,13830
"Female","Khaki","Toyota","No","08/01/2021",27,0,44464
"Male","Fuscia","GMC","No","29/06/2021",61,0.23,24334
"Male","Green","Suzuki","No","06/08/2021",64,0.06,13917
"Female","Yellow","Land Rover","Yes","04/06/2021",48,0.37,62744
"Male","Red","Ford","No","10/07/2021",35,0.35,74913
"Female","Turquoise","Toyota","No","09/09/2021",27,0.36,60412
"Male","Mauv","Mitsubishi","No","21/06/2021",25,0.47,19797
"Male","Teal","Land Rover","Yes","10/06/2021",50,0.4,40378
"Female","Blue","Isuzu","Yes","24/01/2021",24,0.43,26468
"Female","Crimson","Cadillac","Yes","05/08/2021",31,0.25,35938
"Male","Goldenrod","Infiniti","No","19/09/2021",60,0.43,71913
"Female","Indigo","Chevrolet","Yes","20/11/2021",47,0,63014
"Female","Aquamarine","Mazda","No","29/11/2021",49,0.23,52703
"Female","Crimson","Honda","No","07/06/2021",26,0.06,66181
"Female","Indigo","Lexus","Yes","23/04/2021",52,0.27,38093
"Male","Aquamarine","Nissan","Yes","04/08/2021",40,0.03,39860
"Male","Yellow","Chevrolet","No","26/04/2021",36,0.22,26245
"Female","Indigo","Dodge","Yes","14/12/2021",26,0.02,26774
"Agender","Violet","Toyota","No","13/01/2021",48,0.12,20927
"Male","Pink","Audi","Yes","01/07/2021",49,0.14,72148
"Female","Orange","Mazda","Yes","12/01/2021",35,0.5,72363
"Male","Turquoise","Dodge","Yes","14/11/2021",39,0.36,72396
"Male","Puce","Toyota","No","10/11/2021",37,0.24,72324
"Female","Khaki","Ford","No","19/12/2021",21,0.31,15884
"Male","Indigo","Pontiac","No","24/05/2021",41,0.33,57204
"Female","Puce","Ford","No","06/08/2021",29,0.31,69149
"Female","Indigo","Dodge","Yes","16/08/2021",45,0.04,26097
